SIO2(WT%),TIO2(WT%),AL2O3(WT%),FEOT(WT%),CAO(WT%),MGO(WT%)
61.88,0.1299,15.36,3.24,0.5485,0.0207
63.78,0.1821,15.9,3.58,0.6671,0.0557
61.1,0.2088,16.25,3.39,0.8001,0.0926
62.66,0.1594,14.65,3.68,0.5047,0.0261
64.02,0.1816,15.49,3.76,0.5703,0.0592
63.47,0.177,14.31,3.94,0.3869,0.0078
60.32,0.2729,16.58,3.71,0.9677,0.1174
60.94,0.3457,16.94,3.56,1.0381,0.2997
60.65,0.2967,16.67,3.72,1.0383,0.1424
60.6,0.3389,16.74,3.57,1.1493,0.2543
61.03,0.262,16.59,4.02,1.0719,0.1287
61.09,0.2024,16.46,3.44,0.9518,0.10800000000000001
61.14,0.2162,16.44,3.84,1.1056,0.10800000000000001
61.88,0.2862,16.33,3.82,1.0498,0.2198
61.65,0.2207,16.59,3.65,0.9052,0.1181
61.83,0.2835,16.88,3.89,1.0525,0.1793
61.01,0.2639,16.69,3.49,0.9841,0.1773
60.78,0.3603,16.91,3.5,1.1088,0.2795
60.9,0.3155,16.84,2.74,1.0749,0.2076
60.68,0.2124,16.24,3.58,1.0027,0.0969
60.89,0.2474,16.54,3.45,1.095,0.1263
61.15,0.2617,16.74,3.57,0.1708,0.9986
61.95,0.2733,16.64,3.18,0.2054,0.8922
62.41,0.2966,16.8,3.01,0.2129,1.0183
61.42,0.2717,16.32,3.77,0.1119,0.9577
62.46,0.2754,16.91,3.38,0.1944,1.0126
62.55,0.2283,16.46,3.16,0.0607,0.8220000000000001
61.33,0.2811,16.77,3.44,0.1311,0.9815
62.3,0.2264,16.5,3.35,0.07,0.8836
62.07,0.2276,16.47,3.16,0.1708,0.9035
61.15,0.2756,16.57,3.21,0.1701,0.9617
61.72,0.1878,16.41,3.52,0.0876,0.9296
63.63,0.2265,17.2,2.52,0.10300000000000001,0.9258
62.0,0.3372,16.83,3.24,0.1682,0.9779
64.64,0.2681,17.55,1.77,0.1043,0.4517
60.903,0.1672,16.0224,3.78,0.9576,0.0633
60.6808,0.2242,15.984000000000002,3.68,0.9402,0.0517
62.0241,0.2259,16.0224,3.63,0.8988,0.1232
60.0344,0.2157,15.9648,3.81,0.9432,0.0549
60.2768,0.2688,16.2144,3.61,0.9792,0.1594
62.0746,0.1652,16.2816,3.86,0.9175,0.0336
60.3172,0.1951,16.1952,3.66,0.9481,0.075
60.6707,0.1863,15.9744,3.67,0.9375,0.1026
60.2869,0.2887,16.176,3.39,0.9940000000000001,0.1288
60.2667,0.2316,16.272000000000002,3.76,0.9378,0.0571
60.2263,0.139,16.3968,3.85,0.9832,0.0622
62.3675,0.2164,15.984000000000002,3.36,0.9447,0.0681
61.88,0.3378,16.59,3.56,1.041,0.1867
60.4,0.2856,16.74,3.62,1.0107,0.16899999999999998
59.57,0.285,16.83,3.25,1.0618,0.215
61.33,0.1818,16.75,3.47,0.9331,0.067
60.48,0.2323,16.67,3.61,1.0131,0.1535
60.16,0.1821,16.31,3.46,0.8523,0.0382
